Latitude;Longitude;Naam;Stad;Hoofdinstelling;Aantal locaties ;Hoofdlocatie;Aantal bedden;Opmerking bedden;Eerste poliklinische bezoeken (2018);Eerste poliklinische bezoeken (2022);Dagbehandelingen;Klinische opnames;Aantal medewerkers;Verzorgingsgebied;Sanquin uitwisseling;Partner [Ja/Nee];Contract datum;Straat;Nummer;Postcode;Type instelling;Type ziekenhuis;Aantal locaties norm.;Aantal bedden norm.;Eerste poliklinische bezoeken (2023) norm.;Dagbehandelingen norm.;Klinische opnames norm.;Aantal medewerkers norm.;Sanquin uitwisseling norm.;Som;Som norm.;Website
53,03510261;5,642269244;Antonius Ziekenhuis - Sneek;Sneek;Antonius Zorggroep;2;Ja;286;;66236;57963;14510;10190;6370;;25;Nee;;Bolswarderbaan;1;8601 ZK;Ziekenhuis;;0,13;0,1;0,18;0,25;0,03;0,36;0,07;1,14;0,19;https://www.mijnantonius.nl/
52,1421825;5,5860802;ApneuCentrum Nederland;Barneveld;ApneuCentrum Nederland;1;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
52,2940196;4,8729921;Atalmedial - Amstelveen (Amstelland Ziekenhuis);Amstelveen;Atalmedial;1;-;;;;;;;;;;Nee;;Laan van de Helende Meesters;8;1186 AM;Laboratorium;;;;;;;;;;;
51,8860135;4,4881592;B12 institute;Rotterdam;B12 institute;1;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
52,2902535;4,7085312;Bayer BV - Hoofddorp;Hoofddorp;Bayer BV;2;-;;;;;;;;;;Nee;;Siriusdreef;36;2132 WT;Farmaceut;;;;;;;;;;;
50,8459723;5,7025897;Bayer BV - Maastricht;Maastricht;Bayer BV;2;-;;;;;;;;;;Nee;;Avenue Ceramique;27;6221 KV;Farmaceut;;;;;;;;;;;
51,83914751;4,9569501;Beatrix ziekenhuis - Gorinchem;Gorinchem;Rivas Zorggroep;2;Ja;219;;56867;53328;11747;9505;4500;;89;Nee;;;;;Ziekenhuis;;0,13;0,05;0,16;0,17;0,03;0,24;0,27;1,05;0,17;
51,8912506;5,1069653;Beatrix ziekenhuis - Leerdam;Leerdam;Rivas Zorggroep;2;Nee;;;;;;;;;;Nee;;Lingesteynplantsoen;3;4141 GH ;Polikliniek;;;;;;;;;;;
52,4967965;5,4741496;Beekman Klinieken;Lelystad;Beekman Klinieken;1;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
51,4122639;5,4146011;Behandel Centrum Neurologie;Veldhoven;Behandel Centrum Neurologie;1;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
52,3676196;5,1883044;Bergman Clinics KNO - Almere;Almere;Bergman Clinics KNO;8;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
52,1892867;5,4149633;Bergman Clinics KNO - Amersfoort;Amersfoort;Bergman Clinics KNO;8;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
52,3222432;4,9733518;Bergman Clinics KNO - Amsterdam Bijlmer;Amsterdam;Bergman Clinics KNO;8;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
52,3565051;4,9974134;Bergman Clinics KNO - Amsterdam Ijburg;Amsterdam;Bergman Clinics KNO;8;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
52,0497888;5,2741516;Bergman Clinics KNO - Driebergen;Driebergen;Bergman Clinics KNO;8;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
52,2188397;5,200228;Bergman Clinics KNO - Hilversum;Hilversum;Bergman Clinics KNO;8;-;;;;;;;;;;Nee;;;;;Private kliniek;;;;;;;;;;;
